;Faconnage;Rainage;Massicot;Template
PRO-C-BBI-1-CBA;F000;R000;M038;T016
PRO-C-BBI-2-CBA;F000;R000;M038;T018
PRO-C-BBI-3-CBA;F000;R000;M042;T017
PRO-C-BBI-1-COS;F000;R000;M038;T018
PRO-C-BBI-2-COS;F000;R000;M038;T016
PRO-C-BBI-3-COS;F000;R000;M042;T017
PRO-C-BBI-1-DNU;F000;R000;M042;T017
PRO-C-BBI-2-DNU;F000;R000;M038;T016
PRO-C-BBI-3-DNU;F000;R000;M038;T018
PRO-C-BBI-1-EST;F000;R000;M038;T018
PRO-C-BBI-2-EST;F000;R000;M042;T017
PRO-C-BBI-3-EST;F000;R000;M038;T016
PRO-C-BBI-1-MPE;F000;R000;M038;T016
PRO-C-BBI-2-MPE;F000;R000;M038;T018
PRO-C-BBI-3-MPE;F000;R000;M042;T017
PRO-C-BBI-1-PAR;F000;R000;M038;T018
PRO-C-BBI-2-PAR;F000;R000;M042;T017
PRO-C-BBI-3-PAR;F000;R000;M038;T016
PRO-C-BBI-1-SHA;F000;R000;M038;T018
PRO-C-BBI-2-SHA;F000;R000;M042;T017
PRO-C-BBI-3-SHA;F000;R000;M038;T016
PRO-C-BBI-1-SPO;F000;R000;M038;T016
PRO-C-BBI-2-SPO;F000;R000;M038;T018
PRO-C-BBI-3-SPO;F000;R000;M042;T017
PRO-C-BBI-1-TAT;F000;R000;M042;T017
PRO-C-BBI-2-TAT;F000;R000;M038;T018
PRO-C-BBI-3-TAT;F000;R000;M038;T016
PRO-C-BBI-1-TOI;F000;R000;M038;T016
PRO-C-BBI-2-TOI;F000;R000;M038;T018
PRO-C-BBI-3-TOI;F000;R000;M042;T017
