;Unité;Libellé;Poids;PU_tranche01;PU_tranche02;Standard
P027;M;Colotech + 350 G Sra3;350;151,41;151,41;true
P028;M;Colotech Gloss 280 G Sra3;280;91,9172;91,9172;true
P029;M;Colotech + Gloss 350Gr Sra3;300;125,0317;125,0317;true
P036;M;Colotech Silk 210 Gr Sra3;300;57,9066;57,9066;false
P039;M;Colotech Silk 250 Grs Sra3;210;60,3683;60,3683;false
P041;M;Colotech Silk 280 Gr Sra3;250;92,3292;92,3292;false
P054;M;Colotech+ 200 Gr Sra3;280;65,3638;65,3638;false
P057;M;Colotech+ 250 Gr Sra3;200;69,8443;69,8443;false
P060;M;Colotech+ 300 Gr Sra3;250;89,0538;89,0538;true
P069;M;Colotech+ Gloss 250Gr Sra3;250;143,9013;143,9013;false
P306;M;Colour Impression 250Gr Sra3;250;71,482;71,482;false
