;Format_ouvert;Format_ferme;Libellé;Massicot;Pose
T001;200x145;100x145;T001_100x145mm_200x145mm;M010;4
T002;100x145;100x145;T002_100x145mm_100x145mm;M018;8
T003;100x210;100x210;T003_100x210mm_100x210mm;M010;4
T004;105x219;105x219;T004_105x219mm_105x219mm;M010;4
T005;290x100;145x100;T005_145x100mm_290x100mm;M008;3
T006;145x200;145x100;T006_145x100mm_145x200mm;M010;4
T007;145x100;145x100;T007_145x100mm_145x100mm;M018;8
T008;250x150;150x150;T008_150x150mm_250x150mm;M006;2
T009;300x150;150x150;T009_150x150mm_300x150mm;M006;2
T010;150x150;150x150;T010_150x150mm_150x150mm;M010;4
T011;150x210;150x210;T011_150x210mm_150x210mm;M010;4
T012;210x100;210x100;T012_210x100mm_210x100mm;M010;4
T013;210x150;210x150;T013_210x150mm_210x150mm;M010;4
T014;219x210;219x105;T014_219x105mm_219x210mm;M006;2
T015;219x105;219x105;T015_219x105mm_219x105mm;M010;4
T016;055x085;055x085;T016_055x085mm_055x085mm;M038;18
T017;068x068;068x068;T017_068x068mm_068x068mm;M042;20
T018;085x055;085x055;T018_085x055mm_085x055mm;M038;18
